Name,Rating,Reviews,Category,Address,city,country,Website,Phone,Url
Pikilia,4.7,925,Greek restaurant,"Span. Allee 72, 14129 Berlin, Germany",Berlin,Germany,http://www.pikilia.de/,+49 30 80588207,https://www.google.com/maps/place/Pikilia/data=!4m7!3m6!1s0x47a859754657f4b1:0x9153245a049743fb!8m2!3d52.4338159!4d13.2112928!16s%2Fg%2F1tj7z_sn!19sChIJsfRXRnVZqEcR-0OXBFokU5E?authuser=0&hl=en&rclk=1
Patatas Mexican Restaurant Berlin,4.6,315,Mexican restaurant,"Jüdenstraße 17, 13597 Berlin, Germany",Berlin,Germany,https://patatasrestaurant.de/13074?utm_source=google&utm_medium=mybusiness&utm_campaign=gb,+49 30 50940009,https://www.google.com/maps/place/Patatas+Mexican+Restaurant+Berlin/data=!4m7!3m6!1s0x47a8570d37dfea89:0xbbba3799be78cb9!8m2!3d52.5377699!4d13.2023638!16s%2Fg%2F11s0jmcc2p!19sChIJierfNw1XqEcRuYznm3mjuws?authuser=0&hl=en&rclk=1
Haus Sanssouci,4.5,592,NA,"Am Großen Wannsee 60, 14109 Berlin, Germany",Berlin,Germany,http://web.haussanssouci.com/,+49 30 8053034,https://www.google.com/maps/place/Haus+Sanssouci/data=!4m10!3m9!1s0x47a858fa73807f55:0xdc97f932892893f2!5m2!4m1!1i2!8m2!3d52.4336486!4d13.164096!16s%2Fg%2F1thcltf3!19sChIJVX-Ac_pYqEcR8pMoiTL5l9w?authuser=0&hl=en&rclk=1
Alte Liebe Restaurantschiff,4.2,"1,347",Seafood restaurant,"Havelchaussee 107, 14055 Berlin, Germany",Berlin,Germany,http://www.alte-liebe-berlin.de/,+49 30 3048258,https://www.google.com/maps/place/Alte+Liebe+Restaurantschiff/data=!4m7!3m6!1s0x47a857a03a610fa9:0xc673e43777f5a01a!8m2!3d52.5015204!4d13.2084683!16s%2Fg%2F1tdshtmf!19sChIJqQ9hOqBXqEcRGqD1dzfkc8Y?authuser=0&hl=en&rclk=1
Blockhaus Nikolskoe,4.2,"1,489",German restaurant,"Nikolskoer Weg 15, 14109 Berlin, Germany",Berlin,Germany,https://www.blockhaus-nikolskoe.de/,+49 30 200031400,https://www.google.com/maps/place/Blockhaus+Nikolskoe/data=!4m7!3m6!1s0x47a8589f7f9b2e9f:0xcad22fec4cb0639e!8m2!3d52.424505!4d13.1162386!16s%2Fg%2F1hb_f4zp5!19sChIJny6bf59YqEcRnmOwTOwv0so?authuser=0&hl=en&rclk=1
Rasam,4.3,332,Indian restaurant,"Wasgenstraße 55, 14129 Berlin, Germany",Berlin,Germany,https://rasamrestaurant.de/,+49 30 91552139,https://www.google.com/maps/place/Rasam/data=!4m7!3m6!1s0x47a8592aa2eb2641:0x5aecfb9b2f95190a!8m2!3d52.4302835!4d13.2136003!16s%2Fg%2F1ptyxgr0j!19sChIJQSbroipZqEcRChmVL5v77Fo?authuser=0&hl=en&rclk=1
SKY TOWER RESTAURANT,4.0,143,Restaurant,"Freiheit 5, 13597 Berlin, Germany",Berlin,Germany,http://skytower-berlin.de/,+49 30 33098600,https://www.google.com/maps/place/SKY+TOWER+RESTAURANT/data=!4m7!3m6!1s0x47a8564ff5d684cb:0xabe1f4b9b13cae5a!8m2!3d52.5325855!4d13.2100451!16s%2Fg%2F11c47yq55v!19sChIJy4TW9U9WqEcRWq48sbn04as?authuser=0&hl=en&rclk=1
Restaurant Fino,4.8,158,Mediterranean restaurant,"Prinz-Friedrich-Leopold-Straße 1, 14129 Berlin, Germany",Berlin,Germany,http://www.restaurantfino.de/,+49 30 95618035,https://www.google.com/maps/place/Restaurant+Fino/data=!4m7!3m6!1s0x47a85924b8086891:0x6cbdb69587cdd55b!8m2!3d52.4303359!4d13.19444!16s%2Fg%2F11gp4f7m5w!19sChIJkWgIuCRZqEcRW9XNh5W2vWw?authuser=0&hl=en&rclk=1
Gaststätte G7,4.3,"1,040",German restaurant,"Gatower Str. 7, 13595 Berlin, Germany",Berlin,Germany,NA,+49 30 35503107,https://www.google.com/maps/place/Gastst%C3%A4tte+G7/data=!4m7!3m6!1s0x47a857ca3f45b19b:0xdce2f1744e03101e!8m2!3d52.5202599!4d13.1878021!16s%2Fg%2F1tmpczbk!19sChIJm7FFP8pXqEcRHhADTnTx4tw?authuser=0&hl=en&rclk=1
Solti Restaurant Berlin,4.6,686,Nepalese restaurant,"Roonstraße 16, 13585 Berlin, Germany",Berlin,Germany,https://soltirestaurant.com/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,+49 30 53048503,https://www.google.com/maps/place/Solti+Restaurant+Berlin/data=!4m7!3m6!1s0x47a8563f628ecab9:0x3cecbce27dd90519!8m2!3d52.5411952!4d13.2002425!16s%2Fg%2F11bzs2hlsd!19sChIJucqOYj9WqEcRGQXZfeK87Dw?authuser=0&hl=en&rclk=1
Pho & More Restaurant Berlin,4.4,442,Vietnamese restaurant,"Jüdenstraße 17, 13597 Berlin, Germany",Berlin,Germany,https://phoandmore-berlin.de/5988?utm_source=google&utm_medium=mybusiness&utm_campaign=gb,+49 30 3337777,https://www.google.com/maps/place/Pho+%26+More+Restaurant+Berlin/data=!4m7!3m6!1s0x47a856472024f5a9:0x1b9cb10b2082eadc!8m2!3d52.5376611!4d13.2022465!16s%2Fg%2F1tdck_bs!19sChIJqfUkIEdWqEcR3OqCIAuxnBs?authuser=0&hl=en&rclk=1
Cruise-In Diner,4.4,856,American restaurant,"Päwesiner Weg 25a, 13581 Berlin, Germany",Berlin,Germany,http://www.cruise-in.de/,+49 30 35130130,https://www.google.com/maps/place/Cruise-In+Diner/data=!4m7!3m6!1s0x47a8562e477a0ce7:0x612a868e6bbebe14!8m2!3d52.532669!4d13.178677!16s%2Fg%2F1tf5csjp!19sChIJ5wx6Ry5WqEcRFL6-a46GKmE?authuser=0&hl=en&rclk=1
CORSINI,4.2,690,Restaurant,"Kronprinzessinnenweg 250, 14109 Berlin, Germany",Berlin,Germany,http://www.corsini-deli.com/,+49 30 80587490,https://www.google.com/maps/place/CORSINI/data=!4m7!3m6!1s0x47a8591eef94ce7b:0x26d7d991e988c823!8m2!3d52.4211004!4d13.178434!16s%2Fg%2F11c45j6f0l!19sChIJe86U7x5ZqEcRI8iI6ZHZ1yY?authuser=0&hl=en&rclk=1
Alreef Restaurant,4.7,968,Middle Eastern restaurant,"Pichelsdorfer Str. 144, 13595 Berlin, Germany",Berlin,Germany,http://alreef-restaurant.de/,+49 178 1777155,https://www.google.com/maps/place/Alreef+Restaurant/data=!4m7!3m6!1s0x47a8574ee225b849:0x7f6c7b5f07751cc6!8m2!3d52.5277205!4d13.1960387!16s%2Fg%2F11tmqb0c3_!19sChIJSbgl4k5XqEcRxhx1B197bH8?authuser=0&hl=en&rclk=1
ΤΕΛΩΝΕΙΟ Greek Taverna,4.6,838,Greek restaurant,"Möllentordamm 1, 13597 Berlin, Germany",Berlin,Germany,https://teloneio.de/,+49 30 84526667,https://www.google.com/maps/place/%CE%A4%CE%95%CE%9B%CE%A9%CE%9D%CE%95%CE%99%CE%9F+Greek+Taverna/data=!4m7!3m6!1s0x47a857ff391d6a4f:0xd80993d3d0ed0502!8m2!3d52.5399239!4d13.2074431!16s%2Fg%2F11fnwwhq1y!19sChIJT2odOf9XqEcRAgXt0NOTCdg?authuser=0&hl=en&rclk=1
Lindwerder,4.3,626,European restaurant,"Havelchaussee 43, 14193 Berlin, Germany",Berlin,Germany,https://www.lindwerder.de/,+49 30 20076949,https://www.google.com/maps/place/Lindwerder/data=!4m7!3m6!1s0x47a8578232554795:0xb35e9ceadfd8cc42!8m2!3d52.467374!4d13.1919632!16s%2Fg%2F121m7b27!19sChIJlUdVMoJXqEcRQszY3-qcXrM?authuser=0&hl=en&rclk=1
Wirtshaus an der Rehwiese,4.5,506,German restaurant,"Matterhornstraße 101, 14129 Berlin, Germany",Berlin,Germany,https://wirtshaus-rehwiese.de/,+49 30 80403062,https://www.google.com/maps/place/Wirtshaus+an+der+Rehwiese/data=!4m7!3m6!1s0x47a8590a3d09856f:0xdd342548910688f!8m2!3d52.4342765!4d13.2034298!16s%2Fg%2F11byv392v3!19sChIJb4UJPQpZqEcRj2gQiVRC0w0?authuser=0&hl=en&rclk=1
Restaurant Alt-Spandau,4.5,920,Croatian restaurant,"Moritzstraße 7, 13597 Berlin, Germany",Berlin,Germany,http://www.altspandau.de/,+49 30 33308092,https://www.google.com/maps/place/Restaurant+Alt-Spandau/data=!4m7!3m6!1s0x47a8564726bc22f7:0x9730b3cc0b1e4aff!8m2!3d52.5381986!4d13.2020809!16s%2Fg%2F1yp1b9y75!19sChIJ9yK8JkdWqEcR_0oeC8yzMJc?authuser=0&hl=en&rclk=1
India Haus Restaurant Zehlendorf Wannsee,4.6,603,Indian restaurant,"Königstraße 14, 14109 Berlin, Germany",Berlin,Germany,https://www.indiahaus-zehlendorf.de/,+49 30 48624869,https://www.google.com/maps/place/India+Haus+Restaurant+Zehlendorf+Wannsee/data=!4m7!3m6!1s0x47a859f958954433:0xf6a07b754794e4c2!8m2!3d52.4197637!4d13.1595136!16s%2Fg%2F1thf7lmr!19sChIJM0SVWPlZqEcRwuSUR3V7oPY?authuser=0&hl=en&rclk=1
Zum grünen Baum | Wiesenstein · Speisenmeisterei,4.2,534,German restaurant,"Wilhelmpl. 4, 14109 Berlin, Germany",Berlin,Germany,http://www.wiesenstein.de/,+49 30 80197112,https://www.google.com/maps/place/Zum+gr%C3%BCnen+Baum+%7C+Wiesenstein+%C2%B7+Speisenmeisterei/data=!4m7!3m6!1s0x47a858c7b2691ab7:0x3071404899d7d2e6!8m2!3d52.4122824!4d13.141343!16s%2Fg%2F11bw5y7230!19sChIJtxppssdYqEcR5tLXmUhAcTA?authuser=0&hl=en&rclk=1
Berlin,NA,NA,NA,NA,Berlin,NA,NA,NA,https://www.google.com/maps/place/Berlin/data=!4m7!3m6!1s0x47b26baffc2e8211:0x50d86fa9dd0270db!8m2!3d54.037033!4d10.4460975!16s%2Fm%2F0bxz8nh!19sChIJEYIu_K9rskcR23AC3alv2FA?authuser=0&hl=en&rclk=1
Simplé,4.6,"1,522",Vietnamese restaurant,"Heerstraße 419, 13593 Berlin, Germany",Berlin,Germany,https://www.simple-restaurant.de/,+49 1520 2305557,https://www.google.com/maps/place/Simpl%C3%A9/data=!4m7!3m6!1s0x47a857d6fbb1dac1:0x83364591e8f0087a!8m2!3d52.5194729!4d13.1633834!16s%2Fg%2F11f5djwy25!19sChIJwdqx-9ZXqEcRegjw6JFFNoM?authuser=0&hl=en&rclk=1
All Seasons,4.3,"8,505",Chinese restaurant,"Am Juliusturm 53, 13599 Berlin, Germany",Berlin,Germany,http://theallseasons.de/,+49 30 26587088,https://www.google.com/maps/place/All+Seasons/data=!4m7!3m6!1s0x47a8565c843661fb:0x534245c1f4086bc9!8m2!3d52.5377864!4d13.2163107!16s%2Fg%2F11d_20n6p7!19sChIJ-2E2hFxWqEcRyWsI9MFFQlM?authuser=0&hl=en&rclk=1
La Perla Restaurant - kein Lieferservice,4.3,261,Italian restaurant,"Sandstraße 66, 13593 Berlin, Germany",Berlin,Germany,NA,+49 30 49803408,https://www.google.com/maps/place/La+Perla+Restaurant+-+kein+Lieferservice/data=!4m7!3m6!1s0x47a857d19a19bf09:0xcea45e6e9488e70!8m2!3d52.519488!4d13.171178!16s%2Fg%2F1tsynthx!19sChIJCb8ZmtFXqEcRcI5I6eZF6gw?authuser=0&hl=en&rclk=1
KFC,4.4,"1,099",Fast food restaurant,"Klosterstraße 3, 13581 Berlin, Germany",Berlin,Germany,https://www.kfc.de/,+49 30 33308740,https://www.google.com/maps/place/KFC/data=!4m7!3m6!1s0x47a85648119c89d5:0xabd93e8cef338237!8m2!3d52.5338123!4d13.1980845!16s%2Fg%2F1tjl4ypd!19sChIJ1YmcEUhWqEcRN4Iz74w-2as?authuser=0&hl=en&rclk=1
Adria Grill,4.5,"1,005",Croatian restaurant,"Potsdamer Ch 36D, 14129 Berlin, Germany",Berlin,Germany,http://www.adriagrill-berlin.de/,+49 30 8033634,https://www.google.com/maps/place/Adria+Grill/data=!4m7!3m6!1s0x47a85972eda05f9d:0xd8daa61bf97e5a35!8m2!3d52.4258774!4d13.2080047!16s%2Fg%2F1tp073sd!19sChIJnV-g7XJZqEcRNVp--Rum2tg?authuser=0&hl=en&rclk=1
Mi Chola,4.8,213,Latin American restaurant,"Hohenzollern Platz, 7-8, 14129 Berlin, Germany",Berlin,Germany,NA,+49 30 40757675,https://www.google.com/maps/place/Mi+Chola/data=!4m7!3m6!1s0x47a85968cf2a8d59:0x7408af40038eb141!8m2!3d52.4307171!4d13.1937019!16s%2Fg%2F11qkv3flns!19sChIJWY0qz2hZqEcRQbGOA0CvCHQ?authuser=0&hl=en&rclk=1
Yummy - Sushi & Fitness Asia Küche,4.4,796,Vietnamese restaurant,"Moritzstraße 24, 13597 Berlin, Germany",Berlin,Germany,https://yummy-spandau.de/,+49 30 24340110,https://www.google.com/maps/place/Yummy+-+Sushi+%26+Fitness+Asia+K%C3%BCche/data=!4m7!3m6!1s0x47a85646c2a16a57:0x6974e64864cb7316!8m2!3d52.537609!4d13.2033098!16s%2Fg%2F11gg652p7g!19sChIJV2qhwkZWqEcRFnPLZEjmdGk?authuser=0&hl=en&rclk=1
City Chicken das Original seit 1996,4.7,481,Chicken restaurant,"Markt 12, 13597 Berlin, Germany",Berlin,Germany,https://www.citychickendasoriginal.com/,+49 30 85620004,https://www.google.com/maps/place/City+Chicken+das+Original+seit+1996/data=!4m7!3m6!1s0x47a857dd7d850843:0x5889b2f514c4bf4c!8m2!3d52.5374118!4d13.2044886!16s%2Fg%2F11s2lf4st3!19sChIJQwiFfd1XqEcRTL_EFPWyiVg?authuser=0&hl=en&rclk=1
Restaurant Petit - vietnamesisches Restaurant (Sushi & authentic Viet Kitchen),4.7,345,Vietnamese restaurant,"Königstraße 10, 14109 Berlin, Germany",Berlin,Germany,http://petit-wannsee.de/,+49 30 68996660,https://www.google.com/maps/place/Restaurant+Petit+-+vietnamesisches+Restaurant+%28Sushi+%26+authentic+Viet+Kitchen%29/data=!4m7!3m6!1s0x47a8592888ae2e8d:0x24573e0637558ea0!8m2!3d52.4201232!4d13.1626537!16s%2Fg%2F11rggr306h!19sChIJjS6uiChZqEcRoI5VNwY-VyQ?authuser=0&hl=en&rclk=1
Landgut Stober,4.4,"1,200",NA,"Behnitzer Dorfstraße 27-31, 14641 Nauen, Germany",Nauen,Germany,http://www.landgut-stober.de/,+49 33239 20440,https://www.google.com/maps/place/Landgut+Stober/data=!4m10!3m9!1s0x47a8e70e89c4430f:0x56ea92a1b6a1dbe1!5m2!4m1!1i2!8m2!3d52.5819549!4d12.7341638!16s%2Fg%2F11_qjdcyd!19sChIJD0PEiQ7nqEcR4duhtqGS6lY?authuser=0&hl=en&rclk=1
PieroGo Grill & Biergarten,4.6,298,Polish restaurant,"Königstraße 4a, 14109 Berlin, Germany",Berlin,Germany,http://www.pierogo-berlin.de/,+49 1525 3803284,https://www.google.com/maps/place/PieroGo+Grill+%26+Biergarten/data=!4m7!3m6!1s0x47a8597845a2b253:0x9fa7127bae48de8d!8m2!3d52.4207697!4d13.1680878!16s%2Fg%2F11fd6hmvk2!19sChIJU7KiRXhZqEcRjd5IrnsSp58?authuser=0&hl=en&rclk=1
Maisel's Biergarten,4.1,667,Beer garden,"Imchenallee 44, 14089 Berlin, Germany",Berlin,Germany,http://www.maisels-biergarten.de/,+49 30 67815562,https://www.google.com/maps/place/Maisel%27s+Biergarten/data=!4m7!3m6!1s0x47a85865c3d16083:0x7818829015ea548a!8m2!3d52.4515267!4d13.1475097!16s%2Fg%2F11h09lnn8!19sChIJg2DRw2VYqEcRilTqFZCCGHg?authuser=0&hl=en&rclk=1
thai hang,4.1,129,Asian fusion restaurant,"Hohenzollernpl 7-8, 14129 Berlin, Germany",Berlin,Germany,https://www.thaihangbistro.de/,+49 30 80926097,https://www.google.com/maps/place/thai+hang/data=!4m7!3m6!1s0x47a8590f5add5ad3:0x55975f92661e1cfa!8m2!3d52.4305338!4d13.1935385!16s%2Fg%2F11c15tbd40!19sChIJ01rdWg9ZqEcR-hweZpJfl1U?authuser=0&hl=en&rclk=1
China-Restaurant Fook Lam Mun,4.3,418,Chinese restaurant,"Königstraße 6-6a, 14109 Berlin, Germany",Berlin,Germany,http://fook-lam-mun-am-wannsee.de/index.php/speisekarte,+49 30 8051760,https://www.google.com/maps/place/China-Restaurant+Fook+Lam+Mun/data=!4m7!3m6!1s0x41653b0aad950241:0x9f157992732c85c8!8m2!3d52.4206435!4d13.1655102!16s%2Fg%2F1thkqqx4!19sChIJQQKVrQo7ZUERyIUsc5J5FZ8?authuser=0&hl=en&rclk=1
Beyzade Restaurant - türkische Spezialitäten vom Holzkohlegrill und Frühstück in Spandau,4.3,824,Turkish restaurant,"Hoher Steinweg 7, 13597 Berlin, Germany",Berlin,Germany,https://beyzade-restaurant.com/?utm_source=GMBwebsite&utm_medium=organic&utm_campaign=Google%20My%20Business,+49 30 23944217,https://www.google.com/maps/place/Beyzade+Restaurant+-+t%C3%BCrkische+Spezialit%C3%A4ten+vom+Holzkohlegrill+und+Fr%C3%BChst%C3%BCck+in+Spandau/data=!4m7!3m6!1s0x47a85648347eb0cb:0x2d4e96f6531aac5d!8m2!3d52.5399144!4d13.2058366!16s%2Fg%2F1ygvswrfc!19sChIJy7B-NEhWqEcRXawaU_aWTi0?authuser=0&hl=en&rclk=1
Saanjh Restaurant,4.7,115,Indian restaurant,"Span. Allee 112, 14129 Berlin, Germany",Berlin,Germany,https://www.saanjh.de/,+49 30 80401600,https://www.google.com/maps/place/Saanjh+Restaurant/data=!4m7!3m6!1s0x47a85926b461ac75:0xddfcdc7c33988c35!8m2!3d52.4342764!4d13.1985263!16s%2Fg%2F11l2wxsdgk!19sChIJdaxhtCZZqEcRNYyYM3zc_N0?authuser=0&hl=en&rclk=1
Bootshaus Kladow,3.8,589,Restaurant,"Verlängerte Uferpromenade 21, 14089 Berlin, Germany",Berlin,Germany,http://www.bootshaus-kladow.de/,+49 30 39831600,https://www.google.com/maps/place/Bootshaus+Kladow/data=!4m7!3m6!1s0x47a8f7c53ea4a40d:0x9b1d2739c7f48fdf!8m2!3d52.4585869!4d13.1125232!16s%2Fg%2F11b7xh0686!19sChIJDaSkPsX3qEcR34_0xzknHZs?authuser=0&hl=en&rclk=1
Berlin,NA,NA,NA,NA,Berlin,NA,NA,NA,https://www.google.com/maps/place/Berlin/data=!4m7!3m6!1s0x47a84e373f035901:0x42120465b5e3b70!8m2!3d52.5200066!4d13.404954!16zL20vMDE1NnE!19sChIJAVkDPzdOqEcRcDteW0YgIQQ?authuser=0&hl=en&rclk=1
Goldhorn-Beefclub,4.7,704,Steak house,"Kladower Damm 100, 14089 Berlin, Germany",Berlin,Germany,http://www.goldhorn-beefclub.de/,NA,https://www.google.com/maps/place/Goldhorn-Beefclub/data=!4m7!3m6!1s0x47a850e46ed34cad:0x1baaed2ccdd98631!8m2!3d52.4750913!4d13.1742683!16s%2Fg%2F11b6lj9660!19sChIJrUzTbuRQqEcRMYbZzSztqhs?authuser=0&hl=en&rclk=1
Evergreen,4.5,570,Chinese restaurant,"Magistratsweg 31, 13593 Berlin, Germany",Berlin,Germany,http://www.restaurant-evergreen.de/,+49 30 3633491,https://www.google.com/maps/place/Evergreen/data=!4m7!3m6!1s0x47a857d592860c65:0x2782eb822791209b!8m2!3d52.5233296!4d13.1613825!16s%2Fg%2F1tfd5_nb!19sChIJZQyGktVXqEcRmyCRJ4Lrgic?authuser=0&hl=en&rclk=1
Chinese Restaurant Macao,4.4,321,Restaurant,"Breite Str. 37, 13597 Berlin, Germany",Berlin,Germany,http://china-restaurant-macao.de/,+49 30 3338126,https://www.google.com/maps/place/Chinese+Restaurant+Macao/data=!4m7!3m6!1s0x47a85644073a6f63:0x1ef47f61f04d159c!8m2!3d52.5383379!4d13.2072473!16s%2Fg%2F1w3w228f!19sChIJY286B0RWqEcRnBVN8GF_9B4?authuser=0&hl=en&rclk=1
Dicke Wirtin,4.5,"4,831",German restaurant,"Carmerstraße 9, 10623 Berlin, Germany",Berlin,Germany,https://dicke-wirtin.de/,+49 30 3124952,https://www.google.com/maps/place/Dicke+Wirtin/data=!4m7!3m6!1s0x47a850fd2622a06f:0x884cf3a61764e842!8m2!3d52.5065268!4d13.3235691!16s%2Fg%2F1tdgz9zv!19sChIJb6AiJv1QqEcRQuhkF6bzTIg?authuser=0&hl=en&rclk=1
Kashana,3.9,123,Indian restaurant,"Wilhelmstraße 35, 13593 Berlin, Germany",Berlin,Germany,https://kashana-restaurant.de/,+49 30 20096967,https://www.google.com/maps/place/Kashana/data=!4m7!3m6!1s0x47a8571cdb8d29f3:0x1ad0a436ff39ea2!8m2!3d52.5170909!4d13.1795617!16s%2Fg%2F11nxs53mk1!19sChIJ8ymN2xxXqEcRop7zb0MKrQE?authuser=0&hl=en&rclk=1
Thang Long,3.4,143,Chinese restaurant,"Klosterstraße 3, 13581 Berlin, Germany",Berlin,Germany,https://hmaps.top/thang-long-3,+49 1520 5470437,https://www.google.com/maps/place/Thang+Long/data=!4m7!3m6!1s0x47a85637fabea155:0x59474cc4657ff237!8m2!3d52.5337858!4d13.1957501!16s%2Fg%2F11xd0rgc6!19sChIJVaG--jdWqEcRN_J_ZcRMR1k?authuser=0&hl=en&rclk=1
Gasthaus Kater Alex,4.7,619,Restaurant,"Kaiser-Friedrich-Straße 29, 10585 Berlin, Germany",Berlin,Germany,https://www.gasthauskateralex-berlin.de/,+49 30 34709065,https://www.google.com/maps/place/Gasthaus+Kater+Alex/data=!4m7!3m6!1s0x47a8512753e40eaf:0xe192fa57a71ebe93!8m2!3d52.5117861!4d13.3011651!16s%2Fg%2F11c6vzfhwh!19sChIJrw7kUydRqEcRk74ep1f6kuE?authuser=0&hl=en&rclk=1
Diyar Simit Evi Restaurant & Frühstückscafe,4.2,554,Turkish restaurant,"Havelstraße 10, 13597 Berlin, Germany",Berlin,Germany,NA,+49 30 35306444,https://www.google.com/maps/place/Diyar+Simit+Evi+Restaurant+%26+Fr%C3%BChst%C3%BCckscafe/data=!4m7!3m6!1s0x47a8564151e88993:0x16e55aabcd0f86a5!8m2!3d52.5387797!4d13.2064126!16s%2Fg%2F11bwfjqjsc!19sChIJk4noUUFWqEcRpYYPzata5RY?authuser=0&hl=en&rclk=1
